Voltage	Acceleration	Displacement	Power
0.0005305	-0.003765	3.529E-5	9.533E-9
0.0002546	0.001977	-9.675E-6	6.694E-9
0.0004037	0.009062	-4.838E-5	4.638E-9
-2.881E-5	0.01604	-8.454E-5	7.493E-9
-0.0001332	0.02103	-0.0001059	9.431E-9
0.0001129	0.02447	-0.000122	1.604E-8
0.0001949	0.02766	-0.0001244	2.03E-8
-7.355E-5	0.03077	-0.0001199	3.106E-8
0.0001203	0.03148	-0.0001014	1.24E-8
-6.609E-5	0.02802	-7.202E-5	2.456E-8
0.0001725	0.02137	-3.712E-5	3.032E-8
0.0005305	0.01457	5.388E-6	2.358E-8
0.000523	0.009095	5.565E-5	2.261E-8
0.0005528	0.003832	9.793E-5	2.136E-8
0.0002322	-0.002769	0.0001366	2.456E-8
9.051E-5	-0.01063	0.0001734	2.167E-8
0.0004857	-0.01768	0.0002002	2.995E-8
0.0003366	-0.02244	0.0002178	2.607E-8
0.0003366	-0.02589	0.0002272	2.489E-8
0.0005603	-0.02916	0.0002311	1.754E-8
0.000262	-0.03192	0.0002201	2.23E-8
-0.0001108	-0.03148	0.0001953	2.727E-8
0.0006721	-0.02649	0.000165	3.087E-8
0.0001874	-0.01892	0.0001248	2.59E-8
0.0003739	-0.01187	8.965E-5	3.528E-8
0.0004932	-0.006623	4.379E-5	3.628E-8
0.0002844	-0.001551	6.507E-6	3.069E-8
0.0001352	0.004771	-3.697E-5	3.508E-8
0.0004484	0.01224	-7.477E-5	3.998E-8
0.0002173	0.0185	-0.0001059	2.727E-8
0.0002546	0.0224	-0.0001241	2.904E-8
0.0003217	0.0258	-0.0001324	3.275E-8
0.0002546	0.02919	-0.000134	3.218E-8
0.000359	0.03158	-0.0001274	3.528E-8
-3.626E-5	0.03061	-0.0001033	3.162E-8
0.0001502	0.02552	-7.037E-5	2.06E-8
0.0002322	0.0184	-3.361E-5	2.214E-8
0.000262	0.01218	1.173E-5	4.126E-8
0.0001203	0.007054	5.14E-5	2.506E-8
0.0004112	0.001474	9.39E-5	2.198E-8
0.0002396	-0.005812	0.0001354	2.406E-8
0.0004857	-0.01356	0.0001662	1.631E-8
0.0002695	-0.0199	0.0001854	1.348E-8
0.0003068	-0.02397	0.0002009	1.217E-8
9.051E-5	-0.02718	0.0002052	6.78E-9
0.0003291	-0.03057	0.0001956	3.497E-9
0.0002247	-0.03234	0.0001798	2.678E-9
0.0003068	-0.03	0.0001494	2.958E-9
0.000262	-0.02372	0.0001146	3.816E-9
0.0005901	-0.01592	8.182E-5	2.361E-9
-2.881E-5	-0.009642	3.611E-5	5.94E-9
0.0002471	-0.004892	6.158E-7	5.23E-9
9.796E-5	0.0007256	-4.95E-5	3.252E-9
0.0001203	0.007694	-9.252E-5	8.452E-10
0.000359	0.01502	-0.0001246	2.624E-9
0.0004112	0.02027	-0.0001491	4.286E-9
0.0006721	0.02379	-0.0001621	3.881E-9
0.0002173	0.02699	-0.000171	1.741E-9
0.0002695	0.03033	-0.0001634	5.547E-11
0.0002024	0.03184	-0.0001406	2.314E-11
0.0006945	0.02907	-0.0001143	7.294E-12
-5.863E-5	0.02284	-7.895E-5	1.586E-10
2.339E-5	0.01582	-4.293E-5	1.361E-10
0.0005528	0.01015	-9.502E-7	2.31E-9
0.0002993	0.005085	4.394E-5	1.126E-10
1.021E-6	-0.00127	8.175E-5	9.616E-12
0.0002695	-0.009021	0.0001162	1.618E-10
0.0003515	-0.01643	0.0001464	3.193E-10
9.051E-5	-0.0216	0.0001764	1.687E-9
0.0002844	-0.02514	0.0001879	1.042E-11
0.0003217	-0.02853	0.0001869	1.518E-9
-0.0001257	-0.0316	0.0001772	7.015E-11
0.000702	-0.03189	0.000157	7.487E-10
6.813E-5	-0.02771	0.0001253	1.042E-11
0.000359	-0.02052	9.36E-5	1.82E-9
0.0007243	-0.01313	5.311E-5	1.731E-9
0.000359	-0.007625	1.217E-5	1.478E-9
-0.0001854	-0.002821	-2.944E-5	1.065E-9
-3.626E-5	0.003275	-7.328E-5	7.201E-10
-5.863E-5	0.01065	-0.0001123	4.424E-10
0.0003888	0.01738	-0.0001449	7.015E-11
0.0003366	0.02179	-0.0001657	2.162E-10
3.085E-5	0.02499	-0.0001801	9.916E-11
4.576E-5	0.02838	-0.000181	7.487E-10
0.0004708	0.03116	-0.0001713	1.042E-11
0.0004634	0.03115	-0.0001531	1.722E-10
0.0001054	0.02685	-0.0001246	1.251E-12
5.322E-5	0.01987	-9.685E-5	1.251E-12
6.068E-5	0.01327	-5.24E-5	2.307E-12
-0.0001481	0.008051	-1.437E-5	2.314E-11
0.0005379	0.002704	2.246E-5	1.722E-10
0.0002173	-0.004266	6.393E-5	5.415E-10
0.000262	-0.0122	9.457E-5	1.099E-10
-5.863E-5	-0.01879	0.0001178	1.361E-10
0.000262	-0.02321	0.0001399	1.108E-9
0.0005081	-0.02641	0.0001516	1.741E-9
0.0004708	-0.0298	0.0001504	1.922E-9
0.0002396	-0.03214	0.000146	8.629E-9
0.0001576	-0.03079	0.0001213	1.059E-8
4.576E-5	-0.02519	9.099E-5	9.397E-10
0.0006647	-0.01734	5.475E-5	9.126E-9
0.0004783	-0.01077	8.669E-6	4.286E-9
0.0004335	-0.005711	-2.996E-5	2.958E-9
