Voltage	Acceleration	Displacement	Power
0.0001725	0.3919	-0.2541	6.36E-11
0.0009331	0.3956	-0.2549	3.384E-10
7.559E-5	0.3986	-0.2547	4.338E-9
0.0001949	0.3956	-0.2544	5.856E-10
0.000359	0.3996	-0.2544	2.827E-10
0.0002024	0.4138	-0.2537	1.863E-10
0.000441	0.4224	-0.2532	4.723E-12
0.0003888	0.4284	-0.2524	5.115E-10
0.0002098	0.4305	-0.2518	7.487E-10
0.0005305	0.4237	-0.2506	6.159E-11
-3.626E-5	0.4244	-0.2492	4.187E-12
0.0002695	0.4333	-0.2483	1.911E-9
0.0003739	0.4392	-0.2468	2.004E-9
0.0002024	0.4411	-0.2452	4.087E-11
0.0004634	0.438	-0.2429	3.193E-10
0.000523	0.4338	-0.2406	2.412E-9
0.0001949	0.4379	-0.2391	7.926E-11
0.0003888	0.4449	-0.2367	3.629E-10
-1.389E-5	0.4456	-0.2343	9.916E-11
0.0002471	0.4411	-0.2318	6.36E-11
0.0004932	0.439	-0.2288	9.077E-10
1.594E-5	0.443	-0.2263	4.081E-9
0.0005678	0.449	-0.2231	5.778E-9
0.0005305	0.4515	-0.2202	7.222E-9
0.0009033	0.4473	-0.2169	5.307E-9
0.00062	0.4412	-0.2132	6.522E-9
0.0002024	0.4384	-0.2097	1.092E-8
0.0003068	0.4359	-0.2059	8.241E-9
-0.0001854	0.4344	-0.2023	8.826E-9
0.0006498	0.4349	-0.198	1.24E-8
0.0001651	0.4354	-0.1943	8.629E-9
0.0006945	0.436	-0.1897	1.159E-8
0.0005305	0.4342	-0.1857	4.783E-9
0.0001352	0.4245	-0.181	1.551E-8
0.0001427	0.4199	-0.1768	8.727E-9
-0.0002451	0.4222	-0.172	1.397E-8
-0.0005955	0.4217	-0.1671	1.658E-8
0.0004335	0.421	-0.1623	2.198E-8
-0.0002674	0.4133	-0.1574	3.548E-8
0.0006125	0.4026	-0.1521	3.588E-8
0.0003291	0.4007	-0.1467	2.995E-8
0.00018	0.3999	-0.1413	1.486E-8
0.0006423	0.3935	-0.1359	1.941E-8
0.0002173	0.3818	-0.1309	2.904E-8
0.0008437	0.3701	-0.125	2.959E-8
0.0004261	0.3668	-0.1195	2.325E-8
0.0002396	0.3684	-0.1135	2.136E-8
0.0001949	0.3674	-0.1075	2.374E-8
0.0004186	0.3598	-0.1018	2.03E-8
0.0001651	0.3472	-0.09603	2.439E-8
0.0005752	0.3382	-0.08992	2.78E-8
-0.000424	0.3321	-0.08402	2.869E-8
1.594E-5	0.3256	-0.0776	4.343E-8
0.0001949	0.3175	-0.07144	2.851E-8
0.0003739	0.3084	-0.06564	2.815E-8
-4.372E-5	0.3007	-0.05928	3.106E-8
0.0003068	0.2935	-0.05279	3.668E-8
0.0002396	0.2836	-0.04644	2.995E-8
0.0002844	0.275	-0.03999	2.39E-8
0.0001949	0.2664	-0.03335	2.693E-8
0.0002322	0.2559	-0.02705	2.261E-8
0.0005827	0.249	-0.02084	2.745E-8
0.0001874	0.2407	-0.01414	2.39E-8
0.0002322	0.2317	-0.007388	1.97E-8
0.0003142	0.2258	-0.0004231	2.423E-8
0.0002173	0.2158	0.005386	2.39E-8
0.0006721	0.2023	0.01217	2.406E-8
0.0005603	0.1902	0.01877	1.671E-8
0.000441	0.179	0.02515	1.782E-8
0.0001427	0.1699	0.03189	1.512E-8
0.0007691	0.1626	0.03826	1.46E-8
0.0003962	0.1529	0.04462	1.853E-8
-7.355E-5	0.1433	0.0516	1.726E-8
0.0002173	0.1332	0.05761	7.77E-9
6.813E-5	0.1228	0.0638	1.006E-8
0.0004857	0.1107	0.07087	6.868E-9
0.0002396	0.09769	0.07682	1.291E-9
0.000344	0.08907	0.08333	5.154E-9
0.0003217	0.07954	0.08973	5.384E-9
0.0002695	0.06951	0.09572	5.004E-9
0.0003515	0.05966	0.1023	4.014E-9
0.0005454	0.04558	0.1088	2.31E-9
0.0002993	0.03536	0.1143	4.93E-9
0.0001651	0.02706	0.1207	2.845E-9
0.0003664	0.01359	0.1271	3.687E-9
0.0003813	0.002261	0.1327	1.329E-9
0.000702	-0.009443	0.1388	1.253E-9
0.001567	-0.01922	0.144	1.487E-10
0.000441	-0.02417	0.1504	4.187E-12
0.0001874	-0.03512	0.1559	1.863E-10
0.000359	-0.05127	0.1617	1.099E-10
0.0002546	-0.06448	0.167	3.581E-10
8.478E-6	-0.07572	0.1721	1.126E-10
0.000344	-0.08423	0.1779	1.099E-10
0.0005976	-0.09183	0.1832	1.898E-10
0.000441	-0.1027	0.188	1.586E-10
0.0005081	-0.1145	0.1934	7.229E-11
0.0002695	-0.1249	0.1982	1.618E-10
0.0004857	-0.1329	0.2029	1.126E-10
0.0005379	-0.1455	0.2081	2.004E-9
9.051E-5	-0.16	0.2123	2.678E-9
0.0002322	-0.1698	0.217	9.319E-10
0.0005901	-0.1803	0.2213	8.761E-10
0.0002993	-0.1905	0.2254	2.665E-9
0.0005081	-0.1993	0.23	2.887E-9
0.000866	-0.2094	0.2339	1.82E-9
0.0003068	-0.2157	0.2375	5.359E-11
9.796E-5	-0.2211	0.2412	4.065E-9
0.0002024	-0.2314	0.2449	3.178E-9
0.0004261	-0.241	0.2484	3.926E-11
0.0006796	-0.253	0.2517	1.251E-12
-1.389E-5	-0.2645	0.255	3.784E-10
0.0004112	-0.2695	0.2575	5.856E-10
0.0005976	-0.2784	0.261	1.135E-9
2.339E-5	-0.2899	0.2634	4.087E-11
0.0002546	-0.3004	0.2663	2.653E-10
0.0003291	-0.3125	0.2686	7.015E-11
0.0004261	-0.3212	0.2712	3.629E-10
0.000262	-0.3247	0.2734	3.44E-11
0.000359	-0.3281	0.2755	6.36E-11
0.0005678	-0.3355	0.277	9.827E-13
0.0001502	-0.3435	0.2789	7.557E-10
0.0001129	-0.3507	0.2803	8.148E-10
-1.389E-5	-0.3594	0.282	2.01E-10
0.0004037	-0.3655	0.2832	1.487E-9
0.0002769	-0.3705	0.284	5.619E-9
0.0003217	-0.3823	0.2843	5.307E-9
0.0001129	-0.3922	0.2848	1.048E-8
0.0008884	-0.3958	0.2848	9.637E-9
0.000262	-0.4013	0.2835	1.006E-8
0.0007243	-0.403	0.2812	1.193E-8
0.0003888	-0.4039	0.276	2.361E-9
0.0002247	-0.4129	0.2709	7.043E-9
-8.101E-5	-0.4192	0.2619	1.448E-8
0.0002471	-0.4218	0.2521	1.193E-8
0.0004112	-0.4252	0.2433	8.241E-9
0.0003739	-0.4267	0.2333	3.881E-9
7.559E-5	-0.4303	0.2241	1.499E-8
-0.0002376	-0.4379	0.2145	1.658E-8
-0.000163	-0.4439	0.2062	2.506E-8
-0.0003718	-0.4468	0.1998	1.941E-8
0.0009779	-0.4497	0.1944	1.955E-8
0.0006349	-0.4521	0.1899	1.985E-8
0.0002695	-0.453	0.186	3.294E-8
0.0002769	-0.4543	0.1821	2.539E-8
0.0004335	-0.4554	0.1791	1.499E-8
0.0006274	-0.4541	0.1758	3.087E-8
-0.0001034	-0.454	0.1728	2.904E-8
0.0006647	-0.4558	0.1703	2.152E-8
0.0002844	-0.4557	0.1679	2.556E-8
0.0001054	-0.4591	0.1654	2.374E-8
0.0005006	-0.4624	0.1628	1.685E-8
-1.389E-5	-0.4595	0.161	1.148E-8
0.000344	-0.4582	0.158	2.121E-8
0.0001129	-0.4568	0.1553	2.423E-8
0.0001129	-0.4556	0.1527	2.573E-8
0.0004708	-0.4565	0.1505	3.956E-8
0.0004634	-0.4537	0.1473	3.811E-8
0.000344	-0.4491	0.1443	1.97E-8
0.0002769	-0.4466	0.1411	2.522E-8
0.0003664	-0.4405	0.1374	3.032E-8
0.00062	-0.4356	0.1341	2.183E-8
0.0003366	-0.4337	0.1308	1.882E-8
0.000344	-0.4294	0.1266	2.246E-8
0.0004559	-0.4279	0.1234	2.341E-8
9.051E-5	-0.4264	0.1199	3.069E-8
0.0003739	-0.4225	0.1147	2.015E-8
0.0005454	-0.4192	0.1109	1.299E-8
2.339E-5	-0.4164	0.1067	9.431E-9
0.0005006	-0.4113	0.102	1.941E-8
0.0003888	-0.4021	0.09834	2.23E-8
0.0005901	-0.3925	0.09299	8.434E-9
0.0001054	-0.3834	0.08806	2.439E-8
0.0004559	-0.3751	0.08254	1.193E-8
0.0003515	-0.3704	0.07785	7.132E-9
0.000702	-0.365	0.07169	8.727E-9
0.0002396	-0.3565	0.0653	7.957E-9
0.0002769	-0.3498	0.05927	5.54E-9
-0.0005955	-0.3433	0.05201	4.638E-9
0.0004261	-0.3381	0.04433	4.149E-9
0.00018	-0.3346	0.03641	2.845E-9
0.0002098	-0.3263	0.02932	2.412E-9
0.000262	-0.3155	0.02228	2.901E-9
0.0002471	-0.3071	0.01638	1.741E-9
0.0004112	-0.2962	0.01002	4.425E-9
0.0001725	-0.2848	0.003447	3.881E-9
0.0003515	-0.2733	-0.00225	1.447E-9
0.000441	-0.2594	-0.008052	7.27E-10
0.0008287	-0.2496	-0.01409	2.412E-9
0.001299	-0.2431	-0.01966	4.478E-10
9.796E-5	-0.2348	-0.02543	7.294E-12
-6.609E-5	-0.2271	-0.03103	4.649E-10
-0.0003271	-0.2207	-0.03701	1.282E-9
-0.0007894	-0.2124	-0.04245	2.152E-13
9.051E-5	-0.203	-0.04745	4.789E-11
0.000359	-0.1926	-0.05376	3.239E-10
0.000866	-0.1797	-0.05914	1.329E-9
0.0002173	-0.1652	-0.06496	7.926E-11
0.0004484	-0.1535	-0.07079	1.1E-9
0.0004857	-0.1421	-0.07578	1.727E-11
0.00018	-0.1283	-0.08189	1.135E-9
0.0002993	-0.1181	-0.08731	1.863E-10
0.0007467	-0.1077	-0.09323	8.154E-11
0.0008064	-0.09669	-0.09897	1.727E-11
0.0001502	-0.08922	-0.1044	6.159E-11
0.0001874	-0.07968	-0.1099	5.115E-10
0.000441	-0.06939	-0.1156	1.731E-9
0.0003515	-0.06035	-0.1204	6.114E-10
0.0001874	-0.04945	-0.1259	2.247E-9
0.0001203	-0.0365	-0.1314	1.358E-9
0.000441	-0.02132	-0.1367	4.187E-12
0.0006572	-0.006705	-0.1423	1.644E-9
0.0003515	0.006046	-0.1474	2.314E-11
0.0002098	0.01541	-0.1523	1.065E-9
0.0005379	0.02345	-0.1574	1.865E-9
0.0001427	0.03332	-0.1626	2.827E-10
-1.389E-5	0.04274	-0.1674	2.359E-10
-0.0002301	0.05126	-0.1719	7.229E-11
0.0005081	0.06132	-0.1768	7.201E-10
0.0001725	0.07074	-0.1818	2.87E-10
0.0005752	0.08088	-0.1866	2.152E-13
8.478E-6	0.09402	-0.1906	2.046E-10
0.0001427	0.1057	-0.1952	9.616E-12
0.0001427	0.1155	-0.1997	7.229E-11
0.0005454	0.1268	-0.2041	2.046E-10
0.0002471	0.1377	-0.2079	1.41E-11
0.0002247	0.1495	-0.2119	2.845E-9
0.0005454	0.1622	-0.2159	4.93E-9
0.0006721	0.1734	-0.2198	7.585E-9
0.0003739	0.1822	-0.2235	5.307E-9
0.0009555	0.1896	-0.2273	9.328E-9
0.0002993	0.1986	-0.2306	7.222E-9
