Voltage	Acceleration	Displacement	Power
1.594E-5	-9.995E-5	0.002485	2.556E-8
0.0003962	-8.129E-5	0.002433	2.06E-8
0.0005454	-4.88E-5	0.002299	2.833E-8
0.0005379	-8.43E-5	0.002455	2.59E-8
-0.0003569	-4.579E-5	0.002657	3.124E-8
0.0007915	-8.25E-5	0.002418	2.869E-8
-9.592E-5	-9.694E-5	0.002582	2.815E-8
-2.135E-5	-0.0001276	0.002388	2.573E-8
0.0002396	-3.075E-5	0.002679	2.941E-8
0.0004186	5.47E-5	0.002522	2.573E-8
0.00018	2.281E-5	0.002724	2.977E-8
0.0004037	8.057E-5	0.002836	1.671E-8
2.339E-5	0.000101	0.002179	1.839E-8
0.00018	3.605E-5	0.002933	1.985E-8
0.0004708	-6.023E-5	0.002493	2.293E-8
0.0001576	-6.204E-5	0.002418	1.564E-8
0.0004037	-3.015E-5	0.002627	2.959E-8
0.0002769	-4.94E-5	0.003015	2.121E-8
0.0003739	-5.482E-5	0.002314	1.853E-8
0.0002546	4.153E-6	0.002865	2.472E-8
0.0003366	-8.551E-5	0.002754	4.02E-8
0.0001352	-0.0001084	0.002895	1.299E-8
0.0006423	0.0001486	0.002634	1.955E-8
0.0002247	-1.33E-5	0.002761	1.092E-8
0.0001949	-5.361E-5	0.002627	1.006E-8
0.0001725	1.619E-5	0.002597	8.826E-9
0.0002024	7.396E-5	0.002776	1.564E-8
0.0002695	5.049E-5	0.002888	8.452E-10
0.0004932	0.0001769	0.002343	2.624E-9
9.051E-5	9.803E-5	0.002947	1.528E-9
-2.881E-5	-6.505E-5	0.002537	6.988E-10
0.0001427	-5.963E-5	0.002194	3.751E-9
0.0001949	5.357E-6	0.002351	5.307E-9
0.0005901	-3.977E-5	0.0025	3.373E-9
0.0008735	7.095E-5	0.002433	3.947E-9
-0.0003718	4.387E-5	0.002783	4.638E-9
0.0003068	0.0001173	0.002388	8.452E-10
0.0002322	0.0001426	0.002589	2.209E-9
0.0009555	0.0001552	0.001985	3.074E-9
9.051E-5	0.0001293	0.002224	1.144E-9
0.0004708	0.0001022	0.002269	4.338E-9
0.0008735	5.41E-5	0.00215	4.205E-10
0.0007169	2.221E-5	0.00215	2.827E-10
0.0001874	2.95E-6	0.001985	7.779E-10
0.0006647	0.0001546	0.002328	6.623E-12
0.0002769	0.0001365	0.001948	1.731E-9
0.0003515	7.396E-5	0.002232	9.916E-11
9.051E-5	0.0001389	0.002082	5.856E-10
0.0003664	8.479E-5	0.001971	5.115E-10
0.0007989	7.576E-5	0.002202	3.384E-10
0.0003068	3.845E-5	0.002068	9.134E-11
-7.355E-5	8.178E-5	0.001971	3.293E-11
0.00062	0.0001732	0.001881	3.581E-10
0.0003217	9.02E-5	0.002023	2.484E-10
0.0002098	-4.639E-5	0.001575	1.456E-10
0.0005379	-8.611E-5	0.002291	3.007E-10
0.0004932	-6.384E-5	0.001948	2.004E-9
0.0002993	-0.0001282	0.002	3.298E-9
5.322E-5	-3.797E-5	0.002284	5.136E-9
0.0006796	1.679E-5	0.001784	4.986E-9
-2.135E-5	-8.912E-5	0.001889	6.114E-10
-0.0003047	-4.271E-6	0.001799	2.046E-10
0.0004857	1.746E-6	0.002209	8.893E-11
0.0006274	0.0001708	0.001933	6.623E-12
0.0006498	0.0002388	0.001381	3.992E-10
-0.000163	0.0001395	0.001903	1.171E-9
-0.0005135	-0.0001078	0.001978	2.111E-9
0.0005976	-5.783E-5	0.001941	1.655E-9
0.0004559	-0.0001451	0.001501	1.586E-10
0.0003068	-8.791E-5	0.001575	1.099E-10
0.0001352	5.428E-7	0.001814	1.865E-9
0.0003291	-4.038E-5	0.001963	7.229E-11
0.000441	-2.466E-6	0.001717	2.016E-9
-5.863E-5	2.348E-6	0.001732	2.524E-10
0.0003739	-5.301E-5	0.001493	1.655E-9
4.576E-5	5.771E-5	0.001866	4.935E-10
0.00062	3.003E-5	0.001993	3.881E-9
-8.101E-5	-4.94E-5	0.001956	6.269E-9
0.0002695	-9.814E-5	0.001687	4.149E-9
0.0002844	-0.0001854	0.002425	5.462E-9
0.000262	-7.167E-5	0.001695	6.353E-9
6.813E-5	-4.82E-5	0.001628	7.402E-9
