Voltage	Acceleration	Displacement	Power
0.0002247	0.05762	-0.1098	7.926E-11
6.068E-5	0.06026	-0.1087	4.039E-15
0.00018	0.04651	-0.1076	9E-10
0.0001502	0.02523	-0.1078	2.484E-10
0.0004634	-0.0002432	-0.1061	2.715E-11
0.0002396	-0.0255	-0.1055	4.187E-12
0.0001874	-0.04489	-0.1043	2.32E-10
0.0003291	-0.05801	-0.1033	7.015E-11
0.000523	-0.06061	-0.1026	3.926E-11
-2.135E-5	-0.04773	-0.1015	3.384E-10
0.0005528	-0.02453	-0.1003	8.686E-10
0.0001427	0.008542	-0.09947	7.487E-10
4.576E-5	0.03995	-0.09886	3.998E-9
0.0002024	0.05703	-0.09772	1.644E-9
0.0005006	0.06056	-0.09638	1.145E-8
0.0002247	0.05081	-0.09637	2.484E-10
0.0003664	0.02985	-0.09522	1.317E-11
0.0003142	0.0042	-0.0942	4.649E-10
0.0003515	-0.02616	-0.09363	2.775E-9
0.0004037	-0.05069	-0.0929	8.686E-10
9.051E-5	-0.06491	-0.09154	9.319E-10
0.0006349	-0.06384	-0.09082	3.431E-10
0.0005827	-0.04759	-0.09009	8.148E-10
0.0003515	-0.02327	-0.0893	3.431E-10
0.0005901	0.004969	-0.08773	7.201E-10
0.0001427	0.0313	-0.08715	9.616E-12
-6.436E-6	0.0471	-0.08663	5.115E-10
0.0004932	0.05544	-0.0855	4.478E-10
0.0002546	0.05057	-0.08522	4.187E-12
0.0002695	0.0327	-0.08432	5.917E-10
0.000359	0.007347	-0.08323	6.442E-10
0.0002173	-0.02333	-0.08223	2.063E-9
0.0003291	-0.05073	-0.0819	5.154E-9
0.0007243	-0.06553	-0.08064	2.361E-9
0.0001203	-0.06625	-0.07977	5.698E-9
0.0005006	-0.05081	-0.079	1.252E-8
0.0004634	-0.02375	-0.07821	1.092E-8
0.0001203	0.006063	-0.07739	6.78E-9
8.305E-5	0.03257	-0.07672	8.925E-9
0.0004932	0.05219	-0.07593	9.74E-9
0.0005976	0.06003	-0.07529	5.004E-9
0.0001874	0.05408	-0.07408	7.863E-9
0.0005081	0.03336	-0.07377	1.081E-8
1.594E-5	0.003536	-0.07277	1.048E-8
-2.881E-5	-0.02745	-0.07165	8.629E-9
-0.0002078	-0.05106	-0.07119	2.522E-8
0.0004559	-0.06189	-0.0703	1.264E-8
-2.135E-5	-0.06184	-0.06943	2.556E-8
0.0002695	-0.0518	-0.06902	3.18E-8
0.0001054	-0.03021	-0.06823	2.798E-8
0.0004335	-0.003174	-0.06751	2.277E-8
0.000523	0.02549	-0.0663	2.09E-8
-0.0001779	0.04962	-0.06589	2.539E-8
-3.626E-5	0.05805	-0.06487	2.152E-8
0.0005081	0.05227	-0.06418	2.887E-8
0.0001352	0.03406	-0.06355	2.23E-8
0.0003739	0.005992	-0.06304	2.851E-8
0.0002844	-0.02298	-0.06194	2.045E-8
-0.0001257	-0.04918	-0.06132	2.815E-8
0.0006125	-0.06613	-0.06123	3.013E-8
0.0001651	-0.06877	-0.06014	3.977E-8
3.831E-5	-0.05881	-0.05906	3.18E-8
-5.118E-5	-0.03656	-0.05868	3.628E-8
0.0002918	-0.008523	-0.05774	4.147E-8
0.0002247	0.01828	-0.05704	3.608E-8
0.0002546	0.04112	-0.05654	3.124E-8
0.0005454	0.05103	-0.05615	2.71E-8
0.0004634	0.04751	-0.05529	2.325E-8
9.051E-5	0.03197	-0.05493	2.904E-8
0.0003962	0.005957	-0.05417	3.218E-8
0.0004112	-0.0234	-0.05345	3.013E-8
8.305E-5	-0.05062	-0.05299	2.995E-8
0.0001427	-0.06998	-0.05199	1.699E-8
-5.118E-5	-0.07771	-0.05123	1.448E-8
0.000262	-0.07239	-0.05141	2.762E-8
0.0002546	-0.05344	-0.05048	3.18E-8
0.0005454	-0.0247	-0.04984	2.309E-8
0.0003962	0.006155	-0.04917	2.214E-8
0.0003664	0.0322	-0.04892	2.075E-8
0.0006125	0.04584	-0.04819	4.147E-8
0.0002695	0.04526	-0.04745	1.287E-8
0.0002695	0.0329	-0.04757	1.839E-8
