Voltage	Acceleration	Displacement	Power
0.0007765	-0.002871	-0.06751	3.002E-9
-2.881E-5	-0.0026	-0.0675	5.136E-9
0.0009779	-0.00253	-0.06752	7.022E-9
0.0004559	-0.001968	-0.06708	3.178E-9
9.051E-5	-0.001802	-0.06718	1.089E-8
0.0006945	-0.002226	-0.06701	1.123E-8
0.0002695	-0.002642	-0.06731	4.693E-9
0.0005006	-0.003003	-0.06666	4.132E-9
0.0002844	-0.003144	-0.06663	5.212E-9
0.0005678	-0.003646	-0.06655	1.143E-7
0.0004857	-0.004236	-0.06614	1.696E-8
0.0008064	-0.004783	-0.06625	1.644E-9
0.000523	-0.004979	-0.06601	5.6E-9
0.0004484	-0.005764	-0.0661	1.179E-8
0.0005305	-0.00675	-0.06551	9.509E-9
0.0004634	-0.007513	-0.06563	7.655E-9
0.0004857	-0.007989	-0.06563	7.29E-9
0.0005976	-0.008479	-0.06587	8.605E-9
0.0008735	-0.009064	-0.06535	1.134E-8
0.0006572	-0.009086	-0.06527	7.022E-9
0.0008213	-0.008939	-0.06484	6.759E-9
0.001067	-0.009171	-0.06532	7.747E-9
0.0005827	-0.009092	-0.0649	1.779E-8
0.0002322	-0.008818	-0.06518	1.821E-8
0.0004186	-0.008368	-0.06488	1.284E-8
0.0006945	-0.007759	-0.06446	1.937E-8
0.0002844	-0.007767	-0.06444	1.432E-8
0.0006796	-0.007273	-0.06423	1.035E-8
0.0002695	-0.006817	-0.06431	1.893E-8
0.0005006	-0.006261	-0.06363	7.38E-9
0.0003739	-0.006031	-0.0639	5.289E-9
0.0008735	-0.005613	-0.06384	9.102E-9
0.0001949	-0.005593	-0.06359	9.406E-9
0.0005379	-0.005647	-0.06326	3.178E-9
0.0004708	-0.005337	-0.06366	5.289E-9
0.0004261	-0.005146	-0.06305	4.838E-9
0.0008959	-0.005158	-0.06296	4.478E-9
0.00062	-0.005074	-0.063	4.838E-9
0.0004634	-0.005028	-0.06284	4.187E-12
